c07fd66,['7uaac'],1
c07fjge,['7uaac'],0
c07f3md,['7u896'],1
c07f3ls,['7u896'],0
c07jcz3,['7visa'],0
c07it38,['7visa'],1
c07jfvv,['7vq9q'],1
c07jy05,['7vq9q'],0
c07o37s,['7xdys'],1
c07o350,['7xdys'],0
c07pkib,['7xvrx'],1
c07phl1,['7xvrx'],0
c07pdms,['7xurj'],1
c07pcf8,['7xurj'],0
c07p45v,['7xrs1'],1
c07p5t2,['7xrs1'],0
c07p2bt,['7xq71'],1
c07p1g4,['7xq71'],0
c07t7ma,['7z9gp'],0
c07t9hn,['7z9gp'],1
c07tw3b,['7zh4a'],0
c07tw7x,['7zh4a'],1
c07twjg,['7zgc5'],1
c07u16m,['7zgc5'],0
c07unti,"['7zp51', 'c07uja7', 'c07umjb']",0
c07unuf,"['7zp51', 'c07uja7', 'c07umjb']",1
c07wa3d,"['80bas', 'c07w7ly']",0
c07wdt8,"['80bas', 'c07w7ly']",1
c07vyls,['8081z'],1
c07vwtz,['8081z'],0
c0nazwk,['bl2w1'],0
c0nbw9o,['bl2w1'],1
c0nds8j,['blqdq'],1
c0ndqf4,['blqdq'],0
c0ne0tl,['blp2g'],0
c0ne2bp,['blp2g'],1
c0ndxff,['blonw'],0
c0ne8gp,['blonw'],1
c0ndefe,['bln1z'],1
c0ndajx,['bln1z'],0
c0nga5r,['bm15b'],1
c0nfeqh,['bm15b'],0
c0nff27,['blzsw'],0
c0nfbrs,['blzsw'],1
c0nguxo,['bmb8u'],1
c0nh4qz,['bmb8u'],0
c0nh0jw,['bm9yo'],1
c0nhdes,['bm9yo'],0
c0nm7mg,['bnbya'],1
c0nmb9u,['bnbya'],0
c0nlmug,['bn661'],0
c0nl5vz,['bn661'],1
c0nkxns,['bn3rq'],1
c0nkyh9,['bn3rq'],0
c0np3mb,['bntyc'],1
c0npdrk,['bntyc'],0
c0nsg0d,['bodsp'],1
c0nsjkt,['bodsp'],0
c0nsdio,['bob9z'],0
c0ns025,['bob9z'],1
c0nqx9i,['bo7c5'],0
c0nqhrm,['bo7c5'],1
c0npvrv,['bo2c4'],0
c0nqrko,['bo2c4'],1
c0npxr7,['bnzgx'],1
c0nqen3,['bnzgx'],0
c0nuy2r,['bovx9'],0
c0nuf5p,['bovx9'],1
c0nubqr,['botap'],1
c0nu8nm,['botap'],0
c0nthwf,['bot7w'],1
c0ntkcm,['bot7w'],0
c0ns8za,['bogsl'],0
c0ns17t,['bogsl'],1
c0nvkkm,['bp4k7'],1
c0nykk4,['bp4k7'],0
c0nuwx0,['bp15p'],0
c0nv0o4,['bp15p'],1
c0nyigy,['bpkof'],0
c0ny03s,['bpkof'],1
c0nzcjq,['bpuo1'],0
c0nz11j,['bpuo1'],1
c0nyfjd,['bpmsr'],0
c0ny5uy,['bpmsr'],1
c0o3x8t,['bqrlx'],0
c0o4cfo,['bqrlx'],1
c0o5bl6,['bqrip'],1
c0o40hr,['bqrip'],0
c0o8ru5,['brjl0'],0
c0o8fq5,['brjl0'],1
c0o7161,['br8x5'],0
c0o6m2w,['br8x5'],1
c0obur6,['bs8lp'],1
c0obbtd,['bs8lp'],0
c0odrdp,['bspas'],1
c0odwvk,['bspas'],0
c0ofj6o,['bt5fx'],0
c0ofse7,['bt5fx'],1
c0ofpb3,['bt3cp'],1
c0ofq22,['bt3cp'],0
c0oi29b,['btorf'],1
c0oi7k2,['btorf'],0
c0ohjgh,['btkn4'],0
c0ohn2v,['btkn4'],1
c0onoab,['butpi'],1
c0onnpt,['butpi'],0
c0omj4i,['bugbo'],0
c0olz3n,['bugbo'],1
c0op8tz,['bv5hq'],1
c0op86g,['bv5hq'],0
c0opsan,['bv4d3'],1
c0oqv0w,['bv4d3'],0
c0ou4yb,['bvykc'],0
c0ouz5z,['bvykc'],1
c0oye1i,['bwtki'],1
c0oyk5o,['bwtki'],0
c0ozzfo,['bwt1m'],1
c0oycmf,['bwt1m'],0
c0p7bpy,['byijj'],0
c0p7e29,['byijj'],1
c0p7438,['byegb'],1
c0p6f5s,['byegb'],0
c1x6qka,['hp2hu'],0
c1x6sgy,['hp2hu'],1
c1xfeao,['hq3k8'],0
c1xf3bn,['hq3k8'],1
c1xf4sa,['hq30t'],0
c1xgr3s,['hq30t'],1
c1xfd35,['hq0sx'],0
c1xgydp,['hq0sx'],1
c1xf3xx,"['hq08e', 'c1xebbp']",1
c1xf53i,"['hq08e', 'c1xebbp']",0
c1xfceo,['hpukt'],1
c1xfgn5,['hpukt'],0
c1xczzt,['hpuic'],0
c1xcudl,['hpuic'],1
c1xd199,['hpovx'],0
c1xcucz,['hpovx'],1
c1xmvsv,['hqvdx'],0
c1xozon,['hqvdx'],1
c1xnjv9,['hqrk0'],0
c1xn0b8,['hqrk0'],1
c1xr6vc,['hrbv8'],0
c1xr5k0,['hrbv8'],1
c1xp8ui,['hr966'],0
c1xq7xw,['hr966'],1
c1xp86h,['hr8zq'],1
c1xowut,['hr8zq'],0
c1xzok1,['hs97d'],1
