"likes the sound of thunder.","0","1","0","0","1"
"is so sleepy it's not even funny that's she can't get to sleep.","0","1","0","0","1"
"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3","0","1","0","0","1"
"likes how the day sounds in this new song.","0","1","0","0","1"
"is home. <3","0","1","0","0","1"
"www.thejokerblogs.com","0","1","0","0","1"
"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.","0","1","0","0","1"
"is in Kentucky. 421 miles into her 1100 mile journey home.","0","1","0","0","1"
"was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.","0","1","0","0","1"
"is celebrating her new haircut by listening to swinger music and generally looking like a doofus.","0","1","0","0","1"
"has a crush on the Green Lantern.","0","1","0","0","1"
"has magic on the brain.","0","1","0","0","1"
"saw Transformers, Up, and Year One this week. Good movie overload. :D","0","1","0","0","1"
"Who wants to meet up on schedule pick-up day at Oviedo?","0","1","0","0","1"
"desires the thrill of inspiration. Also, money.","0","1","0","0","1"
"is going to bed at 9:30! Yeah!","0","1","0","0","1"
"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.","0","1","0","0","1"
"thinks intangibility should be an option in reality settings.","0","1","0","0","1"
"is tired. *PROPNAME*, let me go to sleep pl0x.","0","1","0","0","1"
"is discovering the many flavors of insomnia.","0","1","0","0","1"
"is watching cousin play computer game on televison box thing. Also, sleepy.","0","1","0","0","1"
"Why is it I'm only getting the urge to draw when I have stuff to do for school? D;","0","1","0","0","1"
"Who'da thought a single text message could be enough to change my mind?","0","1","0","0","1"
"wishes to develop a super power that prevents her from needing to sleep.","0","1","0","0","1"
"TELL ME WHAT TO DRAW, PLOX.","0","1","0","0","1"
"found a bunny, bunny died, buried bunny, now is drawing.","0","1","0","0","1"
"<3","0","1","0","0","1"
"is just about insane by now.","0","1","0","0","1"
"wants to sleep eight hours tonight. And so she shall.","0","1","0","0","1"
"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.","0","1","0","0","1"
"has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.","0","1","0","0","1"
"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!","0","1","0","0","1"
"can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(","0","1","0","0","1"
"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM.","0","1","0","0","1"
"is watching kid's cartoons and wishing she weren't so old.","0","1","0","0","1"
"has work tomorrow, and hopes they teach her how to use the cash register. :D","0","1","0","0","1"
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.","0","1","0","0","1"
"has a really confusing internal dilemma. She also wonders if anyone can guess what it is.","0","1","0","0","1"
"thinks she needs to stop leaving so many pictures half-done before getting new ideas.","0","1","0","0","1"
"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.","0","1","0","0","1"
"is seeing 9 tonight... maybe?","0","1","0","0","1"
"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.","0","1","0","0","1"
"WEEKEND. I LOVE YOU.","0","1","0","0","1"
"is listening to Relient K and thinking about plants, lawyers, and internships.","0","1","0","0","1"
"is drawing instead of homeworking. :| This is fun, but not good.","0","1","0","0","1"
"will sleep like a champion tonight.","0","1","0","0","1"
"dishes, webcomics, laziness, internal lack of disruption. Alright.","0","1","0","0","1"
"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)","0","1","0","0","1"
"has a magical ceiling.","0","1","0","0","1"
"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.","0","1","0","0","1"
"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday.","0","1","0","0","1"
"hates FML on principle.","0","1","0","0","1"
"realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.","0","1","0","0","1"
"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-","0","1","0","0","1"
"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu.","0","1","0","0","1"
"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome.","0","1","0","0","1"
"is a little excited to see the talent show.","0","1","0","0","1"
"is tired. She would sleep, but there's a cat on her desk that requires supervision.","0","1","0","0","1"
"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell.","0","1","0","0","1"
"needs a stupid, fluffy book to read inbetween experiences of normalcy.","0","1","0","0","1"
"will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.","0","1","0","0","1"
"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3","0","1","0","0","1"
"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)","0","1","0","0","1"
"needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.","0","1","0","0","1"
"spews toxic gas into your personal air bubble. It's super effective!","0","1","0","0","1"
